team_id,team_name,coach_name,coach_country
MEX,Messico,Javier Aguirre,MEX
RSA,Sudafrica,Hugo Broos,BEL
KOR,Corea del Sud,Hong Myung-bo,KOR
CZE,Cechia,Miroslav Koubek,CZE
CAN,Canada,Jesse Marsch,USA
QAT,Qatar,Julen Lopetegui,ESP
SUI,Svizzera,Murat Yakin,SUI
BIH,Bosnia ed Erzegovina,Sergej Barbarez,BIH
BRA,Brasile,Carlo Ancelotti,ITA
MAR,Marocco,Mohamed Ouahbi,MAR
HAI,Haiti,Sébastien Migné,FRA
SCO,Scozia,Steve Clarke,SCO
USA,Stati Uniti,Mauricio Pochettino,ARG
PAR,Paraguay,Gustavo Alfaro,ARG
AUS,Australia,Tony Popovic,AUS
TUR,Turchia,Vincenzo Montella,ITA
GER,Germania,Julian Nagelsmann,GER
CUW,Curaçao,Dick Advocaat,NED
CIV,Costa d'Avorio,Emerse Faé,CIV
ECU,Ecuador,Sebastián Beccacece,ARG
NED,Paesi Bassi,Ronald Koeman,NED
JPN,Giappone,Hajime Moriyasu,JPN
SWE,Svezia,Graham Potter,ENG
TUN,Tunisia,Sabri Lamouchi,FRA
BEL,Belgio,Rudi Garcia,FRA
EGY,Egitto,Hossam Hassan,EGY
IRN,Iran,Amir Ghalenoei,IRN
NZL,Nuova Zelanda,Darren Bazeley,ENG
ESP,Spagna,Luis de la Fuente,ESP
CPV,Capo Verde,Bubista,CPV
KSA,Arabia Saudita,Georgios Donis,GRE
URU,Uruguay,Marcelo Bielsa,ARG
FRA,Francia,Didier Deschamps,FRA
SEN,Senegal,Pape Thiaw,SEN
IRQ,Iraq,Graham Arnold,AUS
NOR,Norvegia,Ståle Solbakken,NOR
ARG,Argentina,Lionel Scaloni,ARG
DZA,Algeria,Vladimir Petković,SUI
AUT,Austria,Ralf Rangnick,GER
JOR,Giordania,Jamal Sellami,MAR
POR,Portogallo,Roberto Martínez,ESP
COD,Congo DR,Sébastien Desabre,FRA
UZB,Uzbekistan,Fabio Cannavaro,ITA
COL,Colombia,Néstor Lorenzo,ARG
ENG,Inghilterra,Thomas Tuchel,ENG
CRO,Croazia,Zlatko Dalić,CRO
GHA,Ghana,Carlos Queiroz,POR
PAN,Panama,Thomas Christiansen,ESP
