match_id;round_code;round_name;match_date;kickoff_time;home_team;away_team;stadium;stadium_where;stadium_city;stadium_country;stadium_capacity;stadium_opened;fotmob_match_url
4667751;1;Giornata 1;2026-06-11;21:00;Messico;Sudafrica;Mexico City Stadium;Città del Messico, Messico;Città del Messico;Messico;83000;1966;https://www.fotmob.com/it/matches/south-africa-vs-mexico/1einvt#4667751
4667752;1;Giornata 1;2026-06-12;04:00;Corea del Sud;Cechia;Estadio Guadalajara;Zapopan, Jalisco, Messico;Guadalajara;Messico;48000;2010;https://www.fotmob.com/it/matches/south-korea-vs-czechia/273opa#4667752
4667757;1;Giornata 1;2026-06-12;21:00;Canada;Bosnia ed Erzegovina;Toronto Stadium;Toronto, Ontario, Canada;Toronto;Canada;45000;2007;https://www.fotmob.com/it/matches/canada-vs-bosnia-herzegovina/23f1qo#4667757
4667771;1;Giornata 1;2026-06-13;03:00;Stati Uniti;Paraguay;Los Angeles Stadium;Inglewood, California, USA;Los Angeles;USA;70000;2020;https://www.fotmob.com/it/matches/usa-vs-paraguay/1hr85j#4667771
4667758;1;Giornata 1;2026-06-13;21:00;Qatar;Svizzera;San Francisco Bay Area Stadium;Santa Clara, California, USA;San Francisco Bay Area;USA;71000;2014;https://www.fotmob.com/it/matches/qatar-vs-switzerland/1beswv#4667758
4667764;1;Giornata 1;2026-06-14;00:00;Brasile;Marocco;New York New Jersey Stadium;East Rutherford, New Jersey, USA;New York / New Jersey;USA;82500;2010;https://www.fotmob.com/it/matches/morocco-vs-brazil/1qr4gd#4667764
4667765;1;Giornata 1;2026-06-14;03:00;Haiti;Scozia;Boston Stadium;Foxborough, Massachusetts, USA;Boston;USA;65000;2002;https://www.fotmob.com/it/matches/haiti-vs-scotland/1q0g2q#4667765
4667772;1;Giornata 1;2026-06-14;06:00;Australia;Turchia;BC Place Vancouver;Vancouver, British Columbia, Canada;Vancouver;Canada;54000;1983;https://www.fotmob.com/it/matches/turkiye-vs-australia/1gr3uk#4667772
4667777;1;Giornata 1;2026-06-14;19:00;Germania;Curaçao;Houston Stadium;Houston, Texas, USA;Houston;USA;72000;2002;https://www.fotmob.com/it/matches/germany-vs-curacao/k77fsyu#4667777
4667783;1;Giornata 1;2026-06-14;22:00;Paesi Bassi;Giappone;Dallas Stadium;Arlington, Texas, USA;Dallas;USA;94000;2009;https://www.fotmob.com/it/matches/netherlands-vs-japan/1hn72b#4667783
4667778;1;Giornata 1;2026-06-15;01:00;Costa d’Avorio;Ecuador;Philadelphia Stadium;Philadelphia, Pennsylvania, USA;Philadelphia;USA;69000;2003;https://www.fotmob.com/it/matches/ecuador-vs-ivory-coast/1hl6kp#4667778
4667784;1;Giornata 1;2026-06-15;04:00;Svezia;Tunisia;Estadio Monterrey;Guadalupe, Nuevo León, Messico;Monterrey;Messico;53500;2015;https://www.fotmob.com/it/matches/tunisia-vs-sweden/1x5290#4667784
4667798;1;Giornata 1;2026-06-15;18:00;Spagna;Capo Verde;Atlanta Stadium;Atlanta, Georgia, USA;Atlanta;USA;75000;2017;https://www.fotmob.com/it/matches/cape-verde-vs-spain/1bbtuo#4667798
4667790;1;Giornata 1;2026-06-15;21:00;Belgio;Egitto;Seattle Stadium;Seattle, Washington, USA;Seattle;USA;69000;2002;https://www.fotmob.com/it/matches/belgium-vs-egypt/2u3bhg#4667790
4667799;1;Giornata 1;2026-06-16;00:00;Arabia Saudita;Uruguay;Miami Stadium;Miami Gardens, Florida, USA;Miami;USA;65000;1987;https://www.fotmob.com/it/matches/uruguay-vs-saudi-arabia/1izuvb#4667799
4667791;1;Giornata 1;2026-06-16;03:00;Iran;Nuova Zelanda;Los Angeles Stadium;Inglewood, California, USA;Los Angeles;USA;70000;2020;https://www.fotmob.com/it/matches/new-zealand-vs-iran/1ar30l#4667791
4667804;1;Giornata 1;2026-06-16;21:00;Francia;Senegal;New York New Jersey Stadium;East Rutherford, New Jersey, USA;New York / New Jersey;USA;82500;2010;https://www.fotmob.com/it/matches/senegal-vs-france/1f8fvo#4667804
4667805;1;Giornata 1;2026-06-17;00:00;Iraq;Norvegia;Boston Stadium;Foxborough, Massachusetts, USA;Boston;USA;65000;2002;https://www.fotmob.com/it/matches/iraq-vs-norway/1oz68o#4667805
4667812;1;Giornata 1;2026-06-17;03:00;Argentina;Algeria;Kansas City Stadium;Kansas City, Missouri, USA;Kansas City;USA;73000;1972;https://www.fotmob.com/it/matches/algeria-vs-argentina/1ehtqa#4667812
4667813;1;Giornata 1;2026-06-17;06:00;Austria;Giordania;San Francisco Bay Area Stadium;Santa Clara, California, USA;San Francisco Bay Area;USA;71000;2014;https://www.fotmob.com/it/matches/jordan-vs-austria/1my603#4667813
4667819;1;Giornata 1;2026-06-17;19:00;Portogallo;R.D. Congo;Houston Stadium;Houston, Texas, USA;Houston;USA;72000;2002;https://www.fotmob.com/it/matches/dr-congo-vs-portugal/1s6g4o#4667819
4667825;1;Giornata 1;2026-06-17;22:00;Inghilterra;Croazia;Dallas Stadium;Arlington, Texas, USA;Dallas;USA;94000;2009;https://www.fotmob.com/it/matches/england-vs-croatia/2viayw#4667825
4667826;1;Giornata 1;2026-06-18;01:00;Ghana;Panamá;Toronto Stadium;Toronto, Ontario, Canada;Toronto;Canada;45000;2007;https://www.fotmob.com/it/matches/panama-vs-ghana/1bjek0#4667826
4667820;1;Giornata 1;2026-06-18;04:00;Uzbekistan;Colombia;Mexico City Stadium;Città del Messico, Messico;Città del Messico;Messico;83000;1966;https://www.fotmob.com/it/matches/colombia-vs-uzbekistan/2dm7x9#4667820
