formation_id;team_name;round;registered_at;players_count;line_order;line_text
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;1;FORMAZIONE — Cozzuolo Mundial FC
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;2;Turno: Prima giornata
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;3;Modulo: 3-4-3
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;4;TITOLARI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;5;PORTIERI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;6;P1. Manuel Neuer - Germania
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;7;DIFENSORI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;8;D1. Theo Hernández - Francia
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;9;D2. Marc Cucurella - Spagna
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;10;D3. Nuno Mendes - Portogallo
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;11;CENTROCAMPISTI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;12;C1. Jamal Musiala - Germania
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;13;C2. Fabián Ruiz - Spagna
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;14;C3. Bruno Fernandes - Portogallo
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;15;C4. Aurélien Tchouaméni - Francia
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;16;ATTACCANTI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;17;A1. Kai Havertz - Germania
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;18;A2. Lamine Yamal - Spagna
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;19;A3. Kylian Mbappé - Francia
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;20;RISERVE
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;21;PORTIERI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;22;P2. Mike Maignan - Francia
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;23;P3. Alisson Becker - Brasile
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;24;DIFENSORI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;25;D4. Denzel Dumfries - Paesi Bassi
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;26;D5. Joshua Kimmich - Germania
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;27;D6. Virgil van Dijk - Paesi Bassi
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;28;D7. Nicolás Tagliafico - Argentina
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;29;D8. Wesley - Brasile
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;30;CENTROCAMPISTI
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;31;C5. Enzo Fernández - Argentina
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;32;C6. Alexis Mac Allister - Argentina
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;33;C7. Rodrigo De Paul - Argentina
mq3lzgpl;Cozzuolo Mundial FC;Prima giornata;2026-06-07T09:57:55.929Z;0;34;C8. Tijjani Reijnders - Paesi Bassi
