team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Algeria;534398;1;Melvin Mastil;Portiere;19/02/2000;26;FC Stade Nyonnais;1,94m;destro;1;-;27/03/2026;250 mila €;https://www.transfermarkt.com/melvin-mastil/profil/spieler/534398
Algeria;80293;2;Aïssa Mandi;Difensore centrale;22/10/1991;34;LOSC Lilla;1,84m;destro;117;7;05/03/2014;1,00 mln €;https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293
Algeria;949929;3;Achref Abada;Difensore centrale;15/06/1999;26;USM Alger;1,85m;destro;9;1;09/06/2025;1,00 mln €;https://www.transfermarkt.com/achref-abada/profil/spieler/949929
Algeria;592396;4;Mohamed Amine Tougai;Difensore centrale;22/01/2000;26;Esperance Tunis;1,86m;destro;29;2;04/12/2021;1,30 mln €;https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396
Algeria;625142;5;Zineddine Belaid;Difensore centrale;20/03/1999;27;JS Kabylie;1,86m;destro;16;1;13/01/2023;1,80 mln €;https://www.transfermarkt.com/zineddine-belaid/profil/spieler/625142
Algeria;416660;6;Ramiz Zerrouki;Mediano;26/05/1998;28;FC Twente Enschede;1,83m;destro;52;3;25/03/2021;6,50 mln €;https://www.transfermarkt.com/ramiz-zerrouki/profil/spieler/416660
Algeria;171424;7;Riyad Mahrez;Ala destra;21/02/1991;35;Al-Ahli SFC;1,79m;sinistro;114;38;31/05/2014;5,00 mln €;https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
Algeria;395693;8;Houssem Aouar;Trequartista;30/06/1998;27;Al-Ittihad Club;1,75m;destro;20;6;18/06/2023;8,00 mln €;https://www.transfermarkt.com/houssem-aouar/profil/spieler/395693
Algeria;418659;9;Amine Gouiri;Punta centrale;16/02/2000;26;Olympique Marsiglia;1,80m;destro;22;8;12/10/2023;28,00 mln €;https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659
Algeria;855015;10;Farès Chaïbi;Trequartista;28/11/2002;23;Eintracht Francoforte;1,83m;destro;29;3;23/03/2023;15,00 mln €;https://www.transfermarkt.com/fares-chaibi/profil/spieler/855015
Algeria;917911;11;Anis Hadj Moussa;Ala destra;11/02/2002;24;Feyenoord Rotterdam;1,76m;sinistro;14;1;22/03/2024;23,00 mln €;https://www.transfermarkt.com/anis-hadj-moussa/profil/spieler/917911
Algeria;840254;12;Nadhir Benbouali;Punta centrale;17/04/2000;26;ETO FC;1,90m;sinistro;3;1;27/03/2026;1,20 mln €;https://www.transfermarkt.com/nadhir-benbouali/profil/spieler/840254
Algeria;750903;13;Jaouen Hadjam;Terzino sinistro;26/03/2003;23;BSC Young Boys;1,85m;sinistro;17;3;27/03/2023;7,00 mln €;https://www.transfermarkt.com/jaouen-hadjam/profil/spieler/750903
Algeria;560593;14;Hicham Boudaoui;Centrocampista;23/09/1999;26;OGC Nizza;1,75m;destro;32;-;27/12/2018;12,00 mln €;https://www.transfermarkt.com/hicham-boudaoui/profil/spieler/560593
Algeria;578391;15;Rayan Aït-Nouri;Terzino sinistro;06/06/2001;25;Manchester City;1,80m;sinistro;28;-;23/03/2023;40,00 mln €;https://www.transfermarkt.com/rayan-ait-nouri/profil/spieler/578391
Algeria;437982;16;Oussama Benbout;Portiere;11/10/1994;31;USM Alger;1,88m;;2;-;05/06/2025;850 mila €;https://www.transfermarkt.com/oussama-benbout/profil/spieler/437982
Algeria;864306;17;Rafik Belghali;Terzino destro;07/06/2002;23;Hellas Verona;1,80m;destro;12;1;09/10/2025;7,00 mln €;https://www.transfermarkt.com/rafik-belghali/profil/spieler/864306
Algeria;746910;18;Mohamed Amoura;Punta centrale;09/05/2000;26;VfL Wolfsburg;1,70m;destro;45;19;08/10/2021;20,00 mln €;https://www.transfermarkt.com/mohamed-amoura/profil/spieler/746910
Algeria;245537;19;Nabil Bentaleb;Mediano;24/11/1994;31;LOSC Lilla;1,89m;sinistro;58;6;05/03/2014;4,50 mln €;https://www.transfermarkt.com/nabil-bentaleb/profil/spieler/245537
