team_id;team_name;role;player_order;player_name;nationality
mq2xvanf;Cozzuolo Mundial FC;POR;1;Alisson Becker;Brasile
mq2xvanf;Cozzuolo Mundial FC;POR;2;Mike Maignan;Francia
mq2xvanf;Cozzuolo Mundial FC;POR;3;Manuel Neuer;Germania
mq2xvanf;Cozzuolo Mundial FC;DIF;1;Achraf Hakimi;Marocco
mq2xvanf;Cozzuolo Mundial FC;DIF;2;Joshua Kimmich;Germania
mq2xvanf;Cozzuolo Mundial FC;DIF;3;Virgil van Dijk;Paesi Bassi
mq2xvanf;Cozzuolo Mundial FC;DIF;4;Denzel Dumfries;Paesi Bassi
mq2xvanf;Cozzuolo Mundial FC;DIF;5;Marc Cucurella;Spagna
mq2xvanf;Cozzuolo Mundial FC;DIF;6;Theo Hernández;Francia
mq2xvanf;Cozzuolo Mundial FC;DIF;7;Nicolás Tagliafico;Argentina
mq2xvanf;Cozzuolo Mundial FC;DIF;8;Nuno Mendes;Portogallo
mq2xvanf;Cozzuolo Mundial FC;CEN;1;Alexis Mac Allister;Argentina
mq2xvanf;Cozzuolo Mundial FC;CEN;2;Jamal Musiala;Germania
mq2xvanf;Cozzuolo Mundial FC;CEN;3;Tijjani Reijnders;Paesi Bassi
mq2xvanf;Cozzuolo Mundial FC;CEN;4;Fabián Ruiz;Spagna
mq2xvanf;Cozzuolo Mundial FC;CEN;5;Bruno Fernandes;Portogallo
mq2xvanf;Cozzuolo Mundial FC;CEN;6;Aurélien Tchouaméni;Francia
mq2xvanf;Cozzuolo Mundial FC;CEN;7;Rodrigo De Paul;Argentina
mq2xvanf;Cozzuolo Mundial FC;CEN;8;Enzo Fernández;Argentina
mq2xvanf;Cozzuolo Mundial FC;ATT;1;Vinícius Júnior;Brasile
mq2xvanf;Cozzuolo Mundial FC;ATT;2;Kai Havertz;Germania
mq2xvanf;Cozzuolo Mundial FC;ATT;3;Harry Kane;Inghilterra
mq2xvanf;Cozzuolo Mundial FC;ATT;4;Jérémy Doku;Belgio
