section;category;item;value;details;nation;players;percent;outside_national_squad;lower_tier_players
ETA;Giocatori di movimento;Più anziano;Cristiano Ronaldo;41 anni, 126 giorni;Portogallo;;;;
ETA;Giocatori di movimento;Più giovane;Gilberto Mora;17 anni, 240 giorni;Messico;;;;
ETA;Portieri;Più anziano;Craig Gordon;43 anni, 162 giorni;Scozia;;;;
ETA;Portieri;Più giovane;Mladen Jurkas;18 anni, 247 giorni;Bosnia ed Erzegovina;;;;
ETA;Capitani;Più anziano;Cristiano Ronaldo;41 anni, 126 giorni;Portogallo;;;;
ETA;Capitani;Più giovane;Alphonso Davies;25 anni, 221 giorni;Canada;;;;
ETA;Allenatori;Più anziano;Dick Advocaat;78 anni, 257 giorni;Curaçao;;;;
ETA;Allenatori;Più giovane;Julian Nagelsmann;38 anni, 323 giorni;Germania;;;;
CLUB;Giocatori per club;Manchester City FC;19;giocatori;Inghilterra;;;;
CLUB;Giocatori per club;FC Bayern München;17;giocatori;Germania;;;;
CLUB;Giocatori per club;Paris Saint-Germain;16;giocatori;Francia;;;;
CLUB;Giocatori per club;Arsenal FC;15;giocatori;Inghilterra;;;;
CLUB;Giocatori per club;FC Barcellona;15;giocatori;Spagna;;;;
CLUB;Giocatori per club;Crystal Palace FC;12;giocatori;Inghilterra;;;;
CLUB;Giocatori per club;Manchester United FC;12;giocatori;Inghilterra;;;;
CLUB;Giocatori per club;Al Hilal SC;12;giocatori;Arabia Saudita;;;;
CLUB;Giocatori per club;Atlético De Madrid;12;giocatori;Spagna;;;;
CLUB;Giocatori per club;Liverpool FC;11;giocatori;Inghilterra;;;;
CLUB;Giocatori per club;Borussia Dortmund;11;giocatori;Germania;;;;
CLUB;Giocatori per club;Galatasaray SK;11;giocatori;Turchia;;;;
CLUB;Giocatori per club;Slavia Praha;10;giocatori;Cechia;;;;
CLUB;Giocatori per club;AC Milan;10;giocatori;Italia;;;;
CLUB;Giocatori per club;PSV Eindhoven;10;giocatori;Paesi Bassi;;;;
CLUB;Giocatori per club;Real Madrid C. F.;10;giocatori;Spagna;;;;
CLUB;Giocatori per club;Fenerbahçe SK;10;giocatori;Turchia;;;;
CLUB;Giocatori per club;Sunderland AFC;10;giocatori;Inghilterra;;;;
CAMPIONATI;Giocatori per campionato;Inghilterra;205;giocatori;Inghilterra;205;16,47%;184;42
CAMPIONATI;Giocatori per campionato;Germania;108;giocatori;Germania;108;8,67%;89;8
CAMPIONATI;Giocatori per campionato;Francia;86;giocatori;Francia;86;6,91%;78;7
CAMPIONATI;Giocatori per campionato;Italia;71;giocatori;Italia;71;5,70%;71;5
CAMPIONATI;Giocatori per campionato;Spagna;69;giocatori;Spagna;69;5,54%;;
CAMPIONATI;Giocatori per campionato;Arabia Saudita;49;giocatori;Arabia Saudita;49;3,94%;24;2
CAMPIONATI;Giocatori per campionato;Stati Uniti;48;giocatori;Stati Uniti;48;3,86%;41;4
CAMPIONATI;Giocatori per campionato;Turchia;45;giocatori;Turchia;45;3,61%;30;2
CAMPIONATI;Giocatori per campionato;Paesi Bassi;38;giocatori;Paesi Bassi;38;3,05%;36;5
CAMPIONATI;Giocatori per campionato;Brasile;32;giocatori;Brasile;32;2,57%;25;0
CAMPIONATI;Giocatori per campionato;Belgio;29;giocatori;Belgio;29;2,33%;26;1
CAMPIONATI;Giocatori per campionato;Portogallo;27;giocatori;Portogallo;27;2,17%;;5
CAMPIONATI;Giocatori per campionato;Messico;26;giocatori;Messico;26;2,09%;14;
CAMPIONATI;Giocatori per campionato;Iran;23;giocatori;Iran;23;1,85%;6;
CAMPIONATI;Giocatori per campionato;Cechia;22;giocatori;Cechia;22;1,77%;;5
