team_id,team_name,squad_date,coach_name,coach_country
MEX,Messico,Lista non ancora consegnata,,
RSA,Sudafrica,27 maggio 2026,Hugo Broos,BEL
KOR,Corea del Sud,16 maggio 2026,Hong Myung-bo,KOR
CZE,Cechia,Lista non ancora consegnata,,
CAN,Canada,Lista non ancora consegnata,,
QAT,Qatar,Lista non ancora consegnata,,
SUI,Svizzera,20 maggio 2026,Murat Yakin,SUI
BIH,Bosnia ed Erzegovina,11 maggio 2026,Sergej Barbarez,BIH
BRA,Brasile,18 maggio 2026,Carlo Ancelotti,ITA
MAR,Marocco,26 maggio 2026,Mohamed Ouahbi,MAR
HAI,Haiti,15 maggio 2026,Sébastien Migné,FRA
SCO,Scozia,19 maggio 2026,Steve Clarke,ENG
USA,Stati Uniti,26 maggio 2026,Mauricio Pochettino,ARG
PAR,Paraguay,Lista non ancora consegnata,,
AUS,Australia,Lista non ancora consegnata,,
TUR,Turchia,Lista non ancora consegnata,,
GER,Germania,21 maggio 2026,Julian Nagelsmann,GER
CUW,Curaçao,18 maggio 2026,Dick Advocaat,NED
CIV,Costa d'Avorio,15 maggio 2026,Emerse Faé,CIV
ECU,Ecuador,Lista non ancora consegnata,,
NED,Paesi Bassi,27 maggio 2026,Ronald Koeman,NED
JPN,Giappone,15 maggio 2026,Hajime Moriyasu,JPN
SWE,Svezia,12 maggio 2026,Graham Potter,ENG
TUN,Tunisia,15 maggio 2026,Sabri Lamouchi,FRA
BEL,Belgio,15 maggio 2026,Rudi Garcia,FRA
EGY,Egitto,Lista non ancora consegnata,,
IRN,Iran,Lista non ancora consegnata,,
NZL,Nuova Zelanda,13 maggio 2026,Darren Bazeley,ENG
ESP,Spagna,25 maggio 2026,Luis de la Fuente,ESP
CPV,Capo Verde,18 maggio 2026,Bubista,CPV
KSA,Arabia Saudita,Lista non ancora consegnata,,
URU,Uruguay,Lista non ancora consegnata,,
FRA,Francia,14 maggio 2026,Didier Deschamps,FRA
SEN,Senegal,Lista non ancora consegnata,,
IRQ,Iraq,Lista non ancora consegnata,,
NOR,Norvegia,21 maggio 2026,Ståle Solbakken,NOR
ARG,Argentina,28 maggio 2026,Lionel Scaloni,ARG
DZA,Algeria,Lista non ancora consegnata,,
AUT,Austria,18 maggio 2026,Ralf Rangnick,GER
JOR,Giordania,Lista non ancora consegnata,,
POR,Portogallo,19 maggio 2026,Roberto Martínez,ESP
COD,Congo DR,18 maggio 2026,Sébastien Desabre,FRA
UZB,Uzbekistan,Lista non ancora consegnata,,
COL,Colombia,25 maggio 2026,Néstor Lorenzo,ARG
ENG,Inghilterra,22 maggio 2026,Thomas Tuchel,ENG
CRO,Croazia,18 maggio 2026,Zlatko Dalić,CRO
GHA,Ghana,Lista non ancora consegnata,,
PAN,Panama,26 maggio 2026,Thomas Christiansen,ESP
